Date,lalin
1/1/2020,87731
1/2/2020,82907
1/3/2020,80181
1/4/2020,82990
1/5/2020,78905
1/6/2020,78578
1/7/2020,75520
1/8/2020,75020
1/9/2020,76906
1/10/2020,80428
1/11/2020,77954
1/12/2020,72176
1/13/2020,77228
1/14/2020,73958
1/15/2020,77189
1/16/2020,77539
1/17/2020,81590
1/18/2020,79719
1/19/2020,70217
1/20/2020,77993
1/21/2020,74396
1/22/2020,75823
1/23/2020,79046
1/24/2020,91578
1/25/2020,76958
1/26/2020,86268
1/27/2020,79487
1/28/2020,76565
1/29/2020,76095
1/30/2020,77877
1/31/2020,83729
2/1/2020,82989
2/2/2020,81160
2/3/2020,80547
2/4/2020,75767
2/5/2020,77148
2/6/2020,78302
2/7/2020,85278
2/8/2020,85613
2/9/2020,79547
2/10/2020,79880
2/11/2020,77552
2/12/2020,77996
2/13/2020,79282
2/14/2020,85439
2/15/2020,82299
2/16/2020,77666
2/17/2020,80945
2/18/2020,76623
2/19/2020,77892
2/20/2020,80851
2/21/2020,84176
2/22/2020,84764
2/23/2020,77446
2/24/2020,79846
2/25/2020,76991
2/26/2020,77876
2/27/2020,78650
2/28/2020,85127
2/29/2020,83591
3/1/2020,78763
3/2/2020,78468
3/3/2020,75646
3/4/2020,77078
3/5/2020,79459
3/6/2020,84617
3/7/2020,85650
3/8/2020,80925
3/9/2020,80653
3/10/2020,76584
3/11/2020,79537
3/12/2020,80186
3/13/2020,85591
3/14/2020,83863
3/15/2020,75925
3/16/2020,74113
3/17/2020,68904
3/18/2020,65014
3/19/2020,62602
3/20/2020,66104
3/21/2020,56544
3/22/2020,41866
3/23/2020,54954
3/24/2020,53006
3/25/2020,30187
3/26/2020,49388
3/27/2020,47741
3/28/2020,38310
3/29/2020,26761
3/30/2020,47179
3/31/2020,43865
4/1/2020,41815
4/2/2020,40574
4/3/2020,42425
4/4/2020,33300
4/5/2020,22122
4/6/2020,41523
4/7/2020,40057
4/8/2020,41136
4/9/2020,44949
4/10/2020,21770
4/11/2020,29005
4/12/2020,22521
4/13/2020,43240
4/14/2020,40888
4/15/2020,41313
4/16/2020,40942
4/17/2020,41451
4/18/2020,34256
4/19/2020,24384
4/20/2020,44071
4/21/2020,43618
4/22/2020,45975
4/23/2020,47640
4/24/2020,35330
4/25/2020,26714
4/26/2020,17145
4/27/2020,41578
4/28/2020,29139
4/29/2020,29416
4/30/2020,34045
5/1/2020,13890
5/2/2020,19747
5/3/2020,12572
5/4/2020,33543
5/5/2020,32614
5/6/2020,34524
5/7/2020,15878
5/8/2020,33577
5/9/2020,23781
5/10/2020,15131
5/11/2020,37539
5/12/2020,35425
5/13/2020,35496
5/14/2020,36428
5/15/2020,38208
5/16/2020,28493
5/17/2020,18359
5/18/2020,40633
5/19/2020,38763
5/20/2020,42394
5/21/2020,21382
5/22/2020,26692
5/23/2020,15864
5/24/2020,14556
5/25/2020,18261
5/26/2020,26477
5/27/2020,29329
5/28/2020,31156
5/29/2020,33814
5/30/2020,27614
5/31/2020,21054
6/1/2020,25306
6/2/2020,42565
6/3/2020,41655
6/4/2020,41191
6/5/2020,42817
6/6/2020,35262
6/7/2020,26877
6/8/2020,45022
6/9/2020,44918
6/10/2020,46168
6/11/2020,46845
6/12/2020,49078
6/13/2020,43745
6/14/2020,37932
6/15/2020,51402
6/16/2020,48970
6/17/2020,49875
6/18/2020,49376
6/19/2020,52261
6/20/2020,49590
6/21/2020,42128
6/22/2020,52932
6/23/2020,50971
6/24/2020,51676
6/25/2020,51492
6/26/2020,54331
6/27/2020,50432
6/28/2020,45101
6/29/2020,54167
6/30/2020,52875
7/1/2020,52611
7/2/2020,52743
7/3/2020,55979
7/4/2020,53615
7/5/2020,48759
7/6/2020,56663
7/7/2020,54813
7/8/2020,55041
7/9/2020,54453
7/10/2020,57419
7/11/2020,52844
7/12/2020,46969
7/13/2020,55280
7/14/2020,53222
7/15/2020,52533
7/16/2020,53094
7/17/2020,55613
7/18/2020,51514
7/19/2020,45059
7/20/2020,58136
7/21/2020,52277
7/22/2020,52696
7/23/2020,54020
7/24/2020,63189
7/25/2020,55344
7/26/2020,47976
7/27/2020,57608
7/28/2020,56766
7/29/2020,60604
7/30/2020,55363
7/31/2020,30899
8/1/2020,44260
8/2/2020,56482
8/3/2020,54917
8/4/2020,51418
8/5/2020,52162
8/6/2020,52253
8/7/2020,55437
8/8/2020,53248
8/9/2020,46865
8/10/2020,60154
8/11/2020,58870
8/12/2020,59594
8/13/2020,60097
8/14/2020,66196
8/15/2020,68868
8/16/2020,54703
8/17/2020,57549
8/18/2020,63445
8/19/2020,67348
8/20/2020,52520
8/21/2020,57624
8/22/2020,59582
8/23/2020,59715
8/24/2020,60703
8/25/2020,57228
8/26/2020,58519
8/27/2020,57618
8/28/2020,60186
8/29/2020,57996
8/30/2020,53594
8/31/2020,60060
9/1/2020,57586
9/2/2020,56857
9/3/2020,58403
9/4/2020,63117
9/5/2020,61111
9/6/2020,55868
9/7/2020,59964
9/8/2020,57983
9/9/2020,58115
9/10/2020,58910
9/11/2020,62508
9/12/2020,59819
9/13/2020,54171
9/14/2020,59646
9/15/2020,57135
9/16/2020,56784
9/17/2020,57586
9/18/2020,61179
9/19/2020,58658
9/20/2020,52366
9/21/2020,58818
9/22/2020,55688
9/23/2020,57271
9/24/2020,57742
9/25/2020,61271
9/26/2020,59290
9/27/2020,52397
9/28/2020,59806
9/29/2020,56322
9/30/2020,56841
10/1/2020,57956
10/2/2020,53511
10/3/2020,54412
10/4/2020,58323
10/5/2020,53742
10/6/2020,51415
10/7/2020,52272
10/8/2020,56298
10/9/2020,57131
10/10/2020,54900
10/11/2020,51134
10/12/2020,54292
10/13/2020,59202
10/14/2020,59146
10/15/2020,54208
10/16/2020,57643
10/17/2020,57086
10/18/2020,51565
10/19/2020,55358
10/20/2020,53041
10/21/2020,53253
10/22/2020,52619
10/23/2020,58813
10/24/2020,58298
10/25/2020,50998
10/26/2020,57595
10/27/2020,63274
10/28/2020,75843
10/29/2020,63369
10/30/2020,65290
10/31/2020,69834
11/1/2020,76620
11/2/2020,68898
11/3/2020,64017
11/4/2020,63416
11/5/2020,64967
11/6/2020,69858
11/7/2020,70297
11/8/2020,63791
11/9/2020,66544
11/10/2020,63192
11/11/2020,64757
11/12/2020,65617
11/13/2020,71609
11/14/2020,70387
11/15/2020,65646
11/16/2020,66568
11/17/2020,64602
11/18/2020,66097
11/19/2020,66629
11/20/2020,70855
11/21/2020,70749
11/22/2020,64219
11/23/2020,67257
11/24/2020,62050
11/25/2020,65851
11/26/2020,64843
11/27/2020,71524
11/28/2020,69514
11/29/2020,63160
11/30/2020,67573
12/1/2020,62222
12/2/2020,63607
12/3/2020,64124
12/4/2020,68909
12/5/2020,67901
12/6/2020,61981
12/7/2020,66469
12/8/2020,65926
12/9/2020,43297
12/10/2020,69716
12/11/2020,69701
12/12/2020,69998
12/13/2020,62472
12/14/2020,70500
12/15/2020,67343
12/16/2020,67874
12/17/2020,69470
12/18/2020,74335
12/19/2020,75346
12/20/2020,66323
